Result of query on yeast with node count 8, max depth 8 with 100 iterations
node_count,gpu_conversion_time,gpu_runtime,cypher_runtime
START
2,5,54,1
8,4,74,39
7,4,64,26
6,5,58,26
5,6,42,15
4,4,46,9
3,4,44,7
2,4,39,5
8,5,56,44
7,4,52,33
6,4,63,26
5,4,59,22
4,3,50,14
3,4,54,12
2,4,47,2
8,5,57,3
7,15,74,4
6,5,79,3
5,6,58,2
4,4,45,3
3,5,45,2
2,4,45,1
END
-----Averages for query with 2 nodes ----
Average GPU conversion time: 4.71 ms
Average GPU run time: 50.82 ms
Average Cypher run time: 4.96 ms
-----Averages for query with 3 nodes ----
Average GPU conversion time: 4.67 ms
Average GPU run time: 54.56 ms
Average Cypher run time: 9.18 ms
-----Averages for query with 4 nodes ----
Average GPU conversion time: 4.66 ms
Average GPU run time: 55.69 ms
Average Cypher run time: 13.89 ms
-----Averages for query with 5 nodes ----
Average GPU conversion time: 4.84 ms
Average GPU run time: 55.54 ms
Average Cypher run time: 24.53 ms
-----Averages for query with 6 nodes ----
Average GPU conversion time: 5.02 ms
Average GPU run time: 58.26 ms
Average Cypher run time: 52.65 ms
-----Averages for query with 7 nodes ----
Average GPU conversion time: 5.94 ms
Average GPU run time: 73.22 ms
Average Cypher run time: 178.34 ms
-----Averages for query with 8 nodes ----
Average GPU conversion time: 7.39 ms
Average GPU run time: 66.15 ms
Average Cypher run time: 149.75 ms
----Failed queries----
